Ticker,CompanyName,CompanyCategory,Date,TtmNetIncome,ShareholdersEquity,PreviousRoe,PercentChangeInRoe,PercentOfPositiveWords,PercentOfNegativeWords,PercentOfLitiguousWords,PercentOfConstrainingWords,PercentOfStrongModalWords,PercentOfWeakModalWords,PercentOfUncertaintyWords
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,12/31/2018,$0.24B,$-0.22B,-82.04,4.010238908,8.602150538,28.8172043,15.48387097,6.451612903,5.591397849,6.451612903,28.60215054
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,9/30/2018,$0.26B,$-0.27B,-70.62,16.17105636,8.602150538,28.8172043,15.48387097,6.451612903,5.591397849,6.451612903,28.60215054
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,6/30/2018,$0.24B,$-0.33B,-71.91,-1.793909053,8.602150538,28.8172043,15.48387097,6.451612903,5.591397849,6.451612903,28.60215054
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,3/31/2018,$0.25B,$-0.32B,-70.43,2.101377254,8.602150538,28.8172043,15.48387097,6.451612903,5.591397849,6.451612903,28.60215054
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,12/31/2017,$0.24B,$-0.34B,-65.16,8.087783917,9.758454106,27.7294686,14.29951691,5.990338164,5.603864734,5.990338164,30.62801932
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,9/30/2017,$0.22B,$-0.36B,-75.28,-13.44314559,9.758454106,27.7294686,14.29951691,5.990338164,5.603864734,5.990338164,30.62801932
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,6/30/2017,$0.23B,$-0.35B,-80.07,-5.982265518,9.758454106,27.7294686,14.29951691,5.990338164,5.603864734,5.990338164,30.62801932
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,3/31/2017,$0.23B,$-0.32B,-79.73,0.426439232,9.758454106,27.7294686,14.29951691,5.990338164,5.603864734,5.990338164,30.62801932
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,12/31/2016,$0.24B,$-0.29B,-73,9.219178082,11.65444173,24.85737571,14.91442543,6.764466178,4.971475143,6.764466178,30.07334963
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,9/30/2016,$0.22B,$-0.28B,-72.67,0.45410761,11.65444173,24.85737571,14.91442543,6.764466178,4.971475143,6.764466178,30.07334963
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,6/30/2016,$0.23B,$-0.28B,-76.46,-4.956840178,11.65444173,24.85737571,14.91442543,6.764466178,4.971475143,6.764466178,30.07334963
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,3/31/2016,$0.22B,$-0.34B,-82.91,-7.779519961,11.65444173,24.85737571,14.91442543,6.764466178,4.971475143,6.764466178,30.07334963
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,12/31/2015,$0.22B,$-0.32B,-93.53,-11.35464557,11.62444113,23.54694486,12.81669151,8.420268256,4.098360656,8.420268256,31.07302534
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,9/30/2015,$0.24B,$-0.30B,-91.46,2.263284496,11.62444113,23.54694486,12.81669151,8.420268256,4.098360656,8.420268256,31.07302534
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,6/30/2015,$0.24B,$-0.19B,-80.52,13.58668654,11.62444113,23.54694486,12.81669151,8.420268256,4.098360656,8.420268256,31.07302534
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,3/31/2015,$0.25B,$-0.26B,-78.7,2.312579416,11.62444113,23.54694486,12.81669151,8.420268256,4.098360656,8.420268256,31.07302534
SBH,sally-beauty-holdings,Retail - Miscellaneous & Diversified,12/31/2014,$0.24B,$-0.26B,-77.48,1.574599897,10.99518459,25.17388978,10.21936865,11.42322097,3.263777421,11.42322097,27.50133761
