Ticker,CompanyName,CompanyCategory,Date,TtmNetIncome,ShareholdersEquity,PreviousRoe,PercentChangeInRoe,PercentOfPositiveWords,PercentOfNegativeWords,PercentOfLitiguousWords,PercentOfConstrainingWords,PercentOfStrongModalWords,PercentOfWeakModalWords,PercentOfUncertaintyWords
LTRPA,liberty-tripadvisor-holdings,Internet Services,12/31/2017,$-0.40B,$3.75B,0.15,-5513.333333,13.19796954,24.61928934,13.19796954,5.837563452,8.375634518,5.837563452,28.93401015
LTRPA,liberty-tripadvisor-holdings,Internet Services,9/30/2017,$0.01B,$5.28B,0.37,-59.45945946,13.19796954,24.61928934,13.19796954,5.837563452,8.375634518,5.837563452,28.93401015
LTRPA,liberty-tripadvisor-holdings,Internet Services,6/30/2017,$0.02B,$5.24B,0.55,-32.72727273,13.19796954,24.61928934,13.19796954,5.837563452,8.375634518,5.837563452,28.93401015
LTRPA,liberty-tripadvisor-holdings,Internet Services,3/31/2017,$0.03B,$5.29B,0.38,44.73684211,13.19796954,24.61928934,13.19796954,5.837563452,8.375634518,5.837563452,28.93401015
LTRPA,liberty-tripadvisor-holdings,Internet Services,12/31/2016,$0.02B,$5.42B,-0.7,-154.2857143,12.5,24.08536585,17.68292683,4.268292683,7.012195122,4.268292683,30.18292683
LTRPA,liberty-tripadvisor-holdings,Internet Services,9/30/2016,$-0.04B,$5.50B,-0.74,-5.405405405,12.5,24.08536585,17.68292683,4.268292683,7.012195122,4.268292683,30.18292683
LTRPA,liberty-tripadvisor-holdings,Internet Services,6/30/2016,$-0.04B,$5.46B,-0.83,-10.84337349,12.5,24.08536585,17.68292683,4.268292683,7.012195122,4.268292683,30.18292683
LTRPA,liberty-tripadvisor-holdings,Internet Services,3/31/2016,$-0.05B,$5.46B,-0.74,12.16216216,12.5,24.08536585,17.68292683,4.268292683,7.012195122,4.268292683,30.18292683
LTRPA,liberty-tripadvisor-holdings,Internet Services,12/31/2015,$-0.04B,$5.44B,-0.71,4.225352113,13.73239437,23.23943662,17.95774648,4.225352113,8.802816901,4.225352113,27.81690141
LTRPA,liberty-tripadvisor-holdings,Internet Services,9/30/2015,$-0.04B,$5.40B,-0.75,-5.333333333,13.73239437,23.23943662,17.95774648,4.225352113,8.802816901,4.225352113,27.81690141
LTRPA,liberty-tripadvisor-holdings,Internet Services,6/30/2015,$-0.04B,$5.38B,-0.85,-11.76470588,13.73239437,23.23943662,17.95774648,4.225352113,8.802816901,4.225352113,27.81690141
LTRPA,liberty-tripadvisor-holdings,Internet Services,3/31/2015,$-0.03B,$5.34B,-0.82,3.658536585,13.73239437,23.23943662,17.95774648,4.225352113,8.802816901,4.225352113,27.81690141
TIVO,tivo,Internet Services,12/31/2018,$-0.35B,$1.49B,-2.4,736.25,9.175738725,23.95023328,27.13841369,7.231726283,2.33281493,7.231726283,22.93934681
TIVO,tivo,Internet Services,9/30/2018,$-0.04B,$1.79B,-2.06,16.50485437,9.175738725,23.95023328,27.13841369,7.231726283,2.33281493,7.231726283,22.93934681
TIVO,tivo,Internet Services,6/30/2018,$-0.04B,$1.83B,-1.19,73.1092437,9.175738725,23.95023328,27.13841369,7.231726283,2.33281493,7.231726283,22.93934681
TIVO,tivo,Internet Services,3/31/2018,$-0.02B,$1.86B,-2.1,-43.33333333,9.175738725,23.95023328,27.13841369,7.231726283,2.33281493,7.231726283,22.93934681
TIVO,tivo,Internet Services,12/31/2017,$-0.04B,$1.85B,-2.51,-16.33466135,8.790072389,30.50672182,21.40641158,7.549120993,2.688728025,7.549120993,21.5098242
TIVO,tivo,Internet Services,9/30/2017,$-0.05B,$1.84B,1.06,-336.7924528,8.790072389,30.50672182,21.40641158,7.549120993,2.688728025,7.549120993,21.5098242
TIVO,tivo,Internet Services,6/30/2017,$0.02B,$1.86B,0.96,10.41666667,8.790072389,30.50672182,21.40641158,7.549120993,2.688728025,7.549120993,21.5098242
TIVO,tivo,Internet Services,3/31/2017,$0.02B,$1.87B,2.26,-57.52212389,8.790072389,30.50672182,21.40641158,7.549120993,2.688728025,7.549120993,21.5098242
