Ticker,CompanyName,CompanyCategory,Date,TtmNetIncome,ShareholdersEquity,PreviousRoe,PercentChangeInRoe,PercentOfPositiveWords,PercentOfNegativeWords,PercentOfLitiguousWords,PercentOfConstrainingWords,PercentOfStrongModalWords,PercentOfWeakModalWords,PercentOfUncertaintyWords
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2018,$0.00B,$0.13B,3.7,-39.72972973,12.98701299,24.89177489,15.36796537,8.008658009,3.896103896,8.008658009,26.83982684
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2018,$0.01B,$0.13B,3.7,0,12.98701299,24.89177489,15.36796537,8.008658009,3.896103896,8.008658009,26.83982684
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2018,$0.01B,$0.14B,2.23,65.91928251,12.98701299,24.89177489,15.36796537,8.008658009,3.896103896,8.008658009,26.83982684
RELL,richardson-electronics,Electronics Parts Distribution,2/28/2018,$0.00B,$0.14B,0.75,197.3333333,12.98701299,24.89177489,15.36796537,8.008658009,3.896103896,8.008658009,26.83982684
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2017,$0.00B,$0.14B,-3.02,-124.8344371,11.75,23.25,9.5,11.5,3,11.5,29.5
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2017,$-0.00B,$0.13B,-5.23,-42.25621415,11.75,23.25,9.5,11.5,3,11.5,29.5
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2017,$-0.01B,$0.13B,-5.14,1.750972763,11.75,23.25,9.5,11.5,3,11.5,29.5
RELL,richardson-electronics,Electronics Parts Distribution,2/28/2017,$-0.01B,$0.13B,-6.49,-20.80123267,11.75,23.25,9.5,11.5,3,11.5,29.5
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2016,$-0.01B,$0.13B,-5.64,15.07092199,8.95140665,23.01790281,9.207161125,12.27621483,3.58056266,12.27621483,30.69053708
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2016,$-0.01B,$0.14B,-4.15,35.90361446,8.95140665,23.01790281,9.207161125,12.27621483,3.58056266,12.27621483,30.69053708
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2016,$-0.01B,$0.14B,-5.39,-23.00556586,8.95140665,23.01790281,9.207161125,12.27621483,3.58056266,12.27621483,30.69053708
RELL,richardson-electronics,Electronics Parts Distribution,2/29/2016,$-0.01B,$0.14B,-4.57,17.94310722,8.95140665,23.01790281,9.207161125,12.27621483,3.58056266,12.27621483,30.69053708
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2015,$-0.01B,$0.15B,-3.79,20.58047493,9.523809524,23.01587302,8.994708995,11.11111111,4.497354497,11.11111111,31.74603175
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2015,$-0.01B,$0.15B,-3.05,24.26229508,9.523809524,23.01587302,8.994708995,11.11111111,4.497354497,11.11111111,31.74603175
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2015,$-0.01B,$0.16B,-2.97,2.693602694,9.523809524,23.01587302,8.994708995,11.11111111,4.497354497,11.11111111,31.74603175
RELL,richardson-electronics,Electronics Parts Distribution,2/28/2015,$-0.01B,$0.16B,-2.31,28.57142857,9.523809524,23.01587302,8.994708995,11.11111111,4.497354497,11.11111111,31.74603175
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2014,$-0.00B,$0.17B,-1.13,104.4247788,7.613868117,26.78450034,7.27396329,13.46023114,3.670972128,13.46023114,27.73623385
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2014,$-0.00B,$0.17B,0,#NAME?,7.613868117,26.78450034,7.27396329,13.46023114,3.670972128,13.46023114,27.73623385
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2014,$0.00B,$0.18B,1.1,-100,7.613868117,26.78450034,7.27396329,13.46023114,3.670972128,13.46023114,27.73623385
RELL,richardson-electronics,Electronics Parts Distribution,2/28/2014,$0.00B,$0.18B,1.63,-32.51533742,7.613868117,26.78450034,7.27396329,13.46023114,3.670972128,13.46023114,27.73623385
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2013,$0.00B,$0.18B,1.07,52.3364486,8.496240602,30.7518797,8.345864662,10.45112782,4.135338346,10.45112782,27.36842105
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2013,$0.00B,$0.18B,0.53,101.8867925,8.496240602,30.7518797,8.345864662,10.45112782,4.135338346,10.45112782,27.36842105
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2013,$0.00B,$0.19B,2.06,-74.27184466,8.496240602,30.7518797,8.345864662,10.45112782,4.135338346,10.45112782,27.36842105
RELL,richardson-electronics,Electronics Parts Distribution,2/28/2013,$0.00B,$0.19B,2.51,-17.92828685,8.496240602,30.7518797,8.345864662,10.45112782,4.135338346,10.45112782,27.36842105
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2012,$0.01B,$0.19B,2.93,-14.33447099,7.77027027,30.13513514,8.445945946,11.48648649,3.445945946,11.48648649,27.22972973
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2012,$0.01B,$0.20B,4.26,-31.22065728,7.77027027,30.13513514,8.445945946,11.48648649,3.445945946,11.48648649,27.22972973
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2012,$0.01B,$0.20B,32.3,-86.81114551,7.77027027,30.13513514,8.445945946,11.48648649,3.445945946,11.48648649,27.22972973
RELL,richardson-electronics,Electronics Parts Distribution,2/29/2012,$0.07B,$0.21B,37.65,-14.20982736,7.77027027,30.13513514,8.445945946,11.48648649,3.445945946,11.48648649,27.22972973
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2011,$0.08B,$0.21B,43.86,-14.15868673,7.284345048,27.85942492,10.28753994,13.03514377,3.130990415,13.03514377,25.36741214
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2011,$0.08B,$0.22B,51.48,-14.8018648,7.284345048,27.85942492,10.28753994,13.03514377,3.130990415,13.03514377,25.36741214
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2011,$0.09B,$0.22B,20.55,150.5109489,7.284345048,27.85942492,10.28753994,13.03514377,3.130990415,13.03514377,25.36741214
RELL,richardson-electronics,Electronics Parts Distribution,2/28/2011,$0.03B,$0.16B,18.98,8.271865121,7.284345048,27.85942492,10.28753994,13.03514377,3.130990415,13.03514377,25.36741214
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2010,$0.03B,$0.15B,16.7,13.65269461,8.294314381,29.1638796,8.56187291,13.17725753,3.143812709,13.17725753,24.48160535
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2010,$0.02B,$0.14B,12.55,33.06772908,8.294314381,29.1638796,8.56187291,13.17725753,3.143812709,13.17725753,24.48160535
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2010,$0.02B,$0.13B,-0.8,-1668.75,8.294314381,29.1638796,8.56187291,13.17725753,3.143812709,13.17725753,24.48160535
RELL,richardson-electronics,Electronics Parts Distribution,2/28/2010,$-0.00B,$0.13B,-12.96,-93.82716049,8.294314381,29.1638796,8.56187291,13.17725753,3.143812709,13.17725753,24.48160535
RELL,richardson-electronics,Electronics Parts Distribution,11/30/2009,$-0.02B,$0.13B,-10.4,24.61538462,8.895705521,30.42944785,6.073619632,12.88343558,3.987730061,12.88343558,24.84662577
RELL,richardson-electronics,Electronics Parts Distribution,8/31/2009,$-0.01B,$0.12B,-8.51,22.20916569,8.895705521,30.42944785,6.073619632,12.88343558,3.987730061,12.88343558,24.84662577
RELL,richardson-electronics,Electronics Parts Distribution,5/31/2009,$-0.01B,$0.12B,-4.45,91.23595506,8.895705521,30.42944785,6.073619632,12.88343558,3.987730061,12.88343558,24.84662577
