Ticker,CompanyName,CompanyCategory,Date,TtmNetIncome,ShareholdersEquity,PreviousRoe,PercentChangeInRoe,PercentOfPositiveWords,PercentOfNegativeWords,PercentOfLitiguousWords,PercentOfConstrainingWords,PercentOfStrongModalWords,PercentOfWeakModalWords,PercentOfUncertaintyWords
VLO,valero-energy,Oil Refining & Marketing,12/31/2018,$3.12B,$22.73B,19.83,-31.11447302,14.94252874,17.40558292,18.22660099,5.911330049,5.911330049,5.911330049,31.69129721
VLO,valero-energy,Oil Refining & Marketing,9/30/2018,$4.54B,$22.96B,20.15,-1.58808933,14.94252874,17.40558292,18.22660099,5.911330049,5.911330049,5.911330049,31.69129721
VLO,valero-energy,Oil Refining & Marketing,6/30/2018,$4.53B,$22.80B,19.26,4.620976116,14.94252874,17.40558292,18.22660099,5.911330049,5.911330049,5.911330049,31.69129721
VLO,valero-energy,Oil Refining & Marketing,3/31/2018,$4.23B,$22.93B,19.01,1.315097317,14.94252874,17.40558292,18.22660099,5.911330049,5.911330049,5.911330049,31.69129721
VLO,valero-energy,Oil Refining & Marketing,12/31/2017,$4.07B,$22.90B,9.87,92.60385005,16.96113074,23.32155477,13.95759717,6.537102473,4.416961131,6.537102473,28.26855124
VLO,valero-energy,Oil Refining & Marketing,9/30/2017,$2.06B,$21.22B,8.79,12.28668942,16.96113074,23.32155477,13.95759717,6.537102473,4.416961131,6.537102473,28.26855124
VLO,valero-energy,Oil Refining & Marketing,6/30/2017,$1.83B,$20.77B,9.99,-12.01201201,16.96113074,23.32155477,13.95759717,6.537102473,4.416961131,6.537102473,28.26855124
VLO,valero-energy,Oil Refining & Marketing,3/31/2017,$2.10B,$20.65B,10.79,-7.414272475,16.96113074,23.32155477,13.95759717,6.537102473,4.416961131,6.537102473,28.26855124
VLO,valero-energy,Oil Refining & Marketing,12/31/2016,$2.29B,$20.85B,10.4,3.75,14.38016529,22.14876033,19.33884298,6.776859504,3.47107438,6.776859504,27.10743802
VLO,valero-energy,Oil Refining & Marketing,9/30/2016,$2.22B,$21.13B,13.86,-24.96392496,14.38016529,22.14876033,19.33884298,6.776859504,3.47107438,6.776859504,27.10743802
VLO,valero-energy,Oil Refining & Marketing,6/30/2016,$2.98B,$21.40B,16.24,-14.65517241,14.38016529,22.14876033,19.33884298,6.776859504,3.47107438,6.776859504,27.10743802
VLO,valero-energy,Oil Refining & Marketing,3/31/2016,$3.52B,$21.50B,18.44,-11.93058568,14.38016529,22.14876033,19.33884298,6.776859504,3.47107438,6.776859504,27.10743802
VLO,valero-energy,Oil Refining & Marketing,12/31/2015,$3.99B,$21.35B,22.42,-17.75200714,13.23529412,22.79411765,16.17647059,7.169117647,4.044117647,7.169117647,29.41176471
VLO,valero-energy,Oil Refining & Marketing,9/30/2015,$4.85B,$21.87B,21.15,6.004728132,13.23529412,22.79411765,16.17647059,7.169117647,4.044117647,7.169117647,29.41176471
VLO,valero-energy,Oil Refining & Marketing,6/30/2015,$4.53B,$22.01B,17.86,18.42105263,13.23529412,22.79411765,16.17647059,7.169117647,4.044117647,7.169117647,29.41176471
VLO,valero-energy,Oil Refining & Marketing,3/31/2015,$3.77B,$21.34B,17.4,2.643678161,13.23529412,22.79411765,16.17647059,7.169117647,4.044117647,7.169117647,29.41176471
VLO,valero-energy,Oil Refining & Marketing,12/31/2014,$3.63B,$21.24B,18.33,-5.073649755,11.52597403,24.72943723,14.23160173,9.848484848,3.246753247,9.848484848,26.56926407
VLO,valero-energy,Oil Refining & Marketing,9/30/2014,$3.76B,$21.06B,15.18,20.75098814,11.52597403,24.72943723,14.23160173,9.848484848,3.246753247,9.848484848,26.56926407
VLO,valero-energy,Oil Refining & Marketing,6/30/2014,$3.02B,$20.72B,15.08,0.663129973,11.52597403,24.72943723,14.23160173,9.848484848,3.246753247,9.848484848,26.56926407
VLO,valero-energy,Oil Refining & Marketing,3/31/2014,$2.89B,$20.41B,14.55,3.642611684,11.52597403,24.72943723,14.23160173,9.848484848,3.246753247,9.848484848,26.56926407
VLO,valero-energy,Oil Refining & Marketing,12/31/2013,$2.72B,$19.95B,13.39,8.663181479,12.35263967,26.24295233,13.94156843,8.969759098,3.895438237,8.969759098,25.62788314
VLO,valero-energy,Oil Refining & Marketing,9/30/2013,$2.44B,$18.39B,15.59,-14.11161001,12.35263967,26.24295233,13.94156843,8.969759098,3.895438237,8.969759098,25.62788314
VLO,valero-energy,Oil Refining & Marketing,6/30/2013,$2.80B,$18.03B,17.97,-13.24429605,12.35263967,26.24295233,13.94156843,8.969759098,3.895438237,8.969759098,25.62788314
VLO,valero-energy,Oil Refining & Marketing,3/31/2013,$3.17B,$18.42B,12.24,46.81372549,12.35263967,26.24295233,13.94156843,8.969759098,3.895438237,8.969759098,25.62788314
VLO,valero-energy,Oil Refining & Marketing,12/31/2012,$2.08B,$18.10B,6.73,81.87221397,13.21709786,24.97187852,14.39820022,8.942632171,3.318335208,8.942632171,26.20922385
VLO,valero-energy,Oil Refining & Marketing,9/30/2012,$1.12B,$17.39B,10.02,-32.83433134,13.21709786,24.97187852,14.39820022,8.942632171,3.318335208,8.942632171,26.20922385
VLO,valero-energy,Oil Refining & Marketing,6/30/2012,$1.65B,$16.62B,9.59,4.483837331,13.21709786,24.97187852,14.39820022,8.942632171,3.318335208,8.942632171,26.20922385
VLO,valero-energy,Oil Refining & Marketing,3/31/2012,$1.56B,$15.99B,13,-26.23076923,13.21709786,24.97187852,14.39820022,8.942632171,3.318335208,8.942632171,26.20922385
VLO,valero-energy,Oil Refining & Marketing,12/31/2011,$2.09B,$16.45B,10.22,27.20156556,12.39224138,28.39439655,15.67887931,8.135775862,3.663793103,8.135775862,23.59913793
VLO,valero-energy,Oil Refining & Marketing,9/30/2011,$1.61B,$16.67B,4.52,126.1061947,12.39224138,28.39439655,15.67887931,8.135775862,3.663793103,8.135775862,23.59913793
