Ticker,CompanyName,CompanyCategory,Date,TtmNetIncome,ShareholdersEquity,PreviousRoe,PercentChangeInRoe,PercentOfPositiveWords,PercentOfNegativeWords,PercentOfLitiguousWords,PercentOfConstrainingWords,PercentOfStrongModalWords,PercentOfWeakModalWords,PercentOfUncertaintyWords
VLO,valero-energy,Oil Refining & Marketing,2018-12-31,$3.12B,$22.73B,19.83,-31.114473020675735,14.942528735632184,17.4055829228243,18.226600985221676,5.911330049261084,5.911330049261084,5.911330049261084,31.69129720853859
VLO,valero-energy,Oil Refining & Marketing,2018-09-30,$4.54B,$22.96B,20.15,-1.5880893300248153,14.942528735632184,17.4055829228243,18.226600985221676,5.911330049261084,5.911330049261084,5.911330049261084,31.69129720853859
VLO,valero-energy,Oil Refining & Marketing,2018-06-30,$4.53B,$22.80B,19.26,4.620976116303203,14.942528735632184,17.4055829228243,18.226600985221676,5.911330049261084,5.911330049261084,5.911330049261084,31.69129720853859
VLO,valero-energy,Oil Refining & Marketing,2018-03-31,$4.23B,$22.93B,19.01,1.3150973172014728,14.942528735632184,17.4055829228243,18.226600985221676,5.911330049261084,5.911330049261084,5.911330049261084,31.69129720853859
VLO,valero-energy,Oil Refining & Marketing,2017-12-31,$4.07B,$22.90B,9.87,92.6038500506586,16.96113074204947,23.32155477031802,13.957597173144876,6.5371024734982335,4.41696113074205,6.5371024734982335,28.268551236749115
VLO,valero-energy,Oil Refining & Marketing,2017-09-30,$2.06B,$21.22B,8.79,12.286689419795223,16.96113074204947,23.32155477031802,13.957597173144876,6.5371024734982335,4.41696113074205,6.5371024734982335,28.268551236749115
VLO,valero-energy,Oil Refining & Marketing,2017-06-30,$1.83B,$20.77B,9.99,-12.012012012012024,16.96113074204947,23.32155477031802,13.957597173144876,6.5371024734982335,4.41696113074205,6.5371024734982335,28.268551236749115
VLO,valero-energy,Oil Refining & Marketing,2017-03-31,$2.10B,$20.65B,10.79,-7.414272474513428,16.96113074204947,23.32155477031802,13.957597173144876,6.5371024734982335,4.41696113074205,6.5371024734982335,28.268551236749115
VLO,valero-energy,Oil Refining & Marketing,2016-12-31,$2.29B,$20.85B,10.4,3.7499999999999885,14.380165289256198,22.14876033057851,19.33884297520661,6.776859504132231,3.4710743801652892,6.776859504132231,27.107438016528924
VLO,valero-energy,Oil Refining & Marketing,2016-09-30,$2.22B,$21.13B,13.86,-24.963924963924956,14.380165289256198,22.14876033057851,19.33884297520661,6.776859504132231,3.4710743801652892,6.776859504132231,27.107438016528924
VLO,valero-energy,Oil Refining & Marketing,2016-06-30,$2.98B,$21.40B,16.24,-14.655172413793098,14.380165289256198,22.14876033057851,19.33884297520661,6.776859504132231,3.4710743801652892,6.776859504132231,27.107438016528924
VLO,valero-energy,Oil Refining & Marketing,2016-03-31,$3.52B,$21.50B,18.44,-11.930585683297195,14.380165289256198,22.14876033057851,19.33884297520661,6.776859504132231,3.4710743801652892,6.776859504132231,27.107438016528924
VLO,valero-energy,Oil Refining & Marketing,2015-12-31,$3.99B,$21.35B,22.42,-17.752007136485283,13.235294117647058,22.794117647058822,16.176470588235293,7.169117647058823,4.044117647058823,7.169117647058823,29.41176470588235
VLO,valero-energy,Oil Refining & Marketing,2015-09-30,$4.85B,$21.87B,21.15,6.004728132387722,13.235294117647058,22.794117647058822,16.176470588235293,7.169117647058823,4.044117647058823,7.169117647058823,29.41176470588235
VLO,valero-energy,Oil Refining & Marketing,2015-06-30,$4.53B,$22.01B,17.86,18.42105263157894,13.235294117647058,22.794117647058822,16.176470588235293,7.169117647058823,4.044117647058823,7.169117647058823,29.41176470588235
VLO,valero-energy,Oil Refining & Marketing,2015-03-31,$3.77B,$21.34B,17.4,2.643678160919545,13.235294117647058,22.794117647058822,16.176470588235293,7.169117647058823,4.044117647058823,7.169117647058823,29.41176470588235
VLO,valero-energy,Oil Refining & Marketing,2014-12-31,$3.63B,$21.24B,18.33,-5.073649754500817,11.525974025974026,24.72943722943723,14.231601731601732,9.848484848484848,3.2467532467532467,9.848484848484848,26.56926406926407
VLO,valero-energy,Oil Refining & Marketing,2014-09-30,$3.76B,$21.06B,15.18,20.75098814229248,11.525974025974026,24.72943722943723,14.231601731601732,9.848484848484848,3.2467532467532467,9.848484848484848,26.56926406926407
VLO,valero-energy,Oil Refining & Marketing,2014-06-30,$3.02B,$20.72B,15.08,0.6631299734747987,11.525974025974026,24.72943722943723,14.231601731601732,9.848484848484848,3.2467532467532467,9.848484848484848,26.56926406926407
VLO,valero-energy,Oil Refining & Marketing,2014-03-31,$2.89B,$20.41B,14.55,3.6426116838487927,11.525974025974026,24.72943722943723,14.231601731601732,9.848484848484848,3.2467532467532467,9.848484848484848,26.56926406926407
VLO,valero-energy,Oil Refining & Marketing,2013-12-31,$2.72B,$19.95B,13.39,8.66318147871546,12.352639671963097,26.242952332137367,13.941568426447976,8.969759097898514,3.89543823680164,8.969759097898514,25.627883136852898
VLO,valero-energy,Oil Refining & Marketing,2013-09-30,$2.44B,$18.39B,15.59,-14.111610006414365,12.352639671963097,26.242952332137367,13.941568426447976,8.969759097898514,3.89543823680164,8.969759097898514,25.627883136852898
VLO,valero-energy,Oil Refining & Marketing,2013-06-30,$2.80B,$18.03B,17.97,-13.2442960489705,12.352639671963097,26.242952332137367,13.941568426447976,8.969759097898514,3.89543823680164,8.969759097898514,25.627883136852898
VLO,valero-energy,Oil Refining & Marketing,2013-03-31,$3.17B,$18.42B,12.24,46.81372549019607,12.352639671963097,26.242952332137367,13.941568426447976,8.969759097898514,3.89543823680164,8.969759097898514,25.627883136852898
VLO,valero-energy,Oil Refining & Marketing,2012-12-31,$2.08B,$18.10B,6.73,81.87221396731054,13.217097862767154,24.9718785151856,14.398200224971879,8.942632170978628,3.3183352080989876,8.942632170978628,26.20922384701912
VLO,valero-energy,Oil Refining & Marketing,2012-09-30,$1.12B,$17.39B,10.02,-32.83433133732534,13.217097862767154,24.9718785151856,14.398200224971879,8.942632170978628,3.3183352080989876,8.942632170978628,26.20922384701912
VLO,valero-energy,Oil Refining & Marketing,2012-06-30,$1.65B,$16.62B,9.59,4.483837330552656,13.217097862767154,24.9718785151856,14.398200224971879,8.942632170978628,3.3183352080989876,8.942632170978628,26.20922384701912
VLO,valero-energy,Oil Refining & Marketing,2012-03-31,$1.56B,$15.99B,13.0,-26.23076923076923,13.217097862767154,24.9718785151856,14.398200224971879,8.942632170978628,3.3183352080989876,8.942632170978628,26.20922384701912
VLO,valero-energy,Oil Refining & Marketing,2011-12-31,$2.09B,$16.45B,10.22,27.201565557729936,12.392241379310345,28.39439655172414,15.678879310344827,8.135775862068966,3.663793103448276,8.135775862068966,23.599137931034484
VLO,valero-energy,Oil Refining & Marketing,2011-09-30,$1.61B,$16.67B,4.52,126.10619469026553,12.392241379310345,28.39439655172414,15.678879310344827,8.135775862068966,3.663793103448276,8.135775862068966,23.599137931034484
VLO,valero-energy,Oil Refining & Marketing,2011-06-30,$0.70B,$15.99B,3.53,28.04532577903682,12.392241379310345,28.39439655172414,15.678879310344827,8.135775862068966,3.663793103448276,8.135775862068966,23.599137931034484
VLO,valero-energy,Oil Refining & Marketing,2011-03-31,$0.54B,$15.22B,2.15,64.18604651162791,12.392241379310345,28.39439655172414,15.678879310344827,8.135775862068966,3.663793103448276,8.135775862068966,23.599137931034484
VLO,valero-energy,Oil Refining & Marketing,2010-12-31,$0.32B,$15.03B,-4.32,-149.76851851851853,10.732323232323232,30.050505050505052,18.476430976430976,7.070707070707071,3.282828282828283,7.070707070707071,23.316498316498315
VLO,valero-energy,Oil Refining & Marketing,2010-09-30,$-0.65B,$15.40B,-10.39,-58.421559191530314,10.732323232323232,30.050505050505052,18.476430976430976,7.070707070707071,3.282828282828283,7.070707070707071,23.316498316498315
VLO,valero-energy,Oil Refining & Marketing,2010-06-30,$-1.57B,$15.05B,-15.59,-33.354714560615776,10.732323232323232,30.050505050505052,18.476430976430976,7.070707070707071,3.282828282828283,7.070707070707071,23.316498316498315
VLO,valero-energy,Oil Refining & Marketing,2010-03-31,$-2.40B,$14.67B,-12.62,23.534072900158485,10.732323232323232,30.050505050505052,18.476430976430976,7.070707070707071,3.282828282828283,7.070707070707071,23.316498316498315
VLO,valero-energy,Oil Refining & Marketing,2009-12-31,$-1.98B,$14.73B,-24.18,-47.808105872622,11.814982403217698,27.802916038210157,17.345399698340874,7.6420311714429365,2.3629964806435395,7.6420311714429365,25.38964303670186
